geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,area_m2,period_ret,intens_num,int2
"19.2856101498,-99.2315451201",Hidrometeorológicos,Precipitación,Medio,Tlalpan,254446.600905,5 años,60 a 64,3
"19.2796008329,-99.1713937942",Hidrometeorológicos,Precipitación,Medio,Tlalpan,34269.8225817,5 años,60 a 64,3
"19.2728977226,-99.1860205808",Hidrometeorológicos,Precipitación,Medio,Tlalpan,288722.801852,5 años,60 a 64,3
"19.3563410356,-99.2191776396",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,462188.445691,5 años,60 a 64,3
"19.3765263391,-99.1976190755",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,173872.021234,5 años,64 a 70,4
"19.3109375138,-99.0426314379",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,270324.982031,5 años,41 a 54,1
"19.3797264472,-99.2249809322",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,91849.4515887,5 años,64 a 70,4
"19.3437406133,-99.2383777364",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,509517.85387,5 años,60 a 64,3
"19.3016878256,-99.06179983",Hidrometeorológicos,Precipitación,Bajo,Tláhuac,395016.198102,5 años,54 a 60,2
"19.4010967458,-99.1999204318",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,130413.435252,5 años,64 a 70,4
"19.3846646976,-99.0982056835",Hidrometeorológicos,Precipitación,Bajo,Iztacalco,149691.339402,5 años,54 a 60,2
"19.3206923111,-99.0586333492",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,140355.674176,5 años,54 a 60,2
"19.3029281745,-99.0840121397",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,182727.387291,5 años,54 a 60,2
"19.2082546347,-98.9845304759",Hidrometeorológicos,Precipitación,Bajo,Milpa Alta,161775.949624,5 años,54 a 60,2
"19.3744125981,-99.0579200778",Hidrometeorológicos,Precipitación,Bajo,Iztapalapa,19665.8071775,5 años,54 a 60,2
"19.3805121946,-99.1985929058",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,555974.647781,5 años,64 a 70,4
"19.317394199,-99.2281688318",Hidrometeorológicos,Precipitación,Medio,La Magdalena Contreras,171312.485674,5 años,60 a 64,3
